time,lat,lng,weight
2016-04-24-04:37:07.173,0.27794205055555554,0.3769642925494361,-127
2016-04-18-06:20:56.609,0.2779281027777778,0.3769686757571027,-86
2016-04-24-05:15:59.630,0.27793718694444447,0.376967316164468,-75
2016-04-24-08:29:24.409,0.2779346261111111,0.3769742425260064,-74
2016-04-24-04:28:05.160,0.2779392438888889,0.3769682246286771,-88
2016-04-19-11:57:58.860,0.2779329586111111,0.37696129481223284,-74
2016-04-24-05:07:13.209,0.2779334891666667,0.37697133761692125,-77
2016-04-19-11:58:20.735,0.27793330027777774,0.37696143752769207,-71.00000000000001
2016-04-24-04:46:13.578,0.27793766194444447,0.37697559843046025,-89
2016-04-24-04:28:27.174,0.2779399488888889,0.37696840274420634,-90
2016-04-24-05:21:00.157,0.2779307541666667,0.37696209489373533,-127
2016-04-24-04:33:42.156,0.2779470447222222,0.37696660041347924,-127
2016-04-24-04:42:45.147,0.2779386266666667,0.37697242892365146,-84
2016-04-18-06:24:17.254,0.2779293825,0.3769660109484505,-82
2016-04-24-04:36:05.828,0.2779433688888889,0.37696518168008036,-64
2016-04-24-04:54:04.311,0.27793171194444444,0.37697333189417925,-78
2016-04-24-04:33:38.992,0.27794695416666665,0.3769667646604486,-127
2016-04-24-04:25:49.148,0.27793485166666665,0.37696943201583893,-89
2016-04-24-04:26:29.247,0.27793601166666665,0.3769686228335034,-82
2016-04-18-06:29:10.416,0.2779206325,0.37696155469300696,-127
2016-04-24-04:29:57.150,0.2779434963888889,0.37696955538214894,-87
2016-04-24-04:28:55.716,0.27794102249999997,0.3769687261257588,-84
2016-04-24-05:06:32.182,0.27793302861111113,0.3769729180026846,-84
2016-04-18-06:19:47.354,0.2779277911111111,0.37696965064425725,-73
2016-04-24-05:19:25.149,0.2779342769444444,0.37696192516863464,-127
2016-04-18-06:28:49.406,0.27792107444444447,0.3769619806486805,-88
2016-04-24-04:26:34.145,0.27793618388888885,0.37696853523579693,-85
2016-04-24-05:15:00.654,0.27793778333333335,0.3769677026910332,-75
2016-04-18-06:19:36.369,0.2779275763888889,0.3769700200126952,-71.00000000000001
2016-04-24-04:53:07.167,0.2779329377777778,0.37697377060380205,-85
2016-04-20-11:16:55.019,0.27793220194444446,0.3769648867635407,-64
2016-04-24-05:19:10.166,0.27793483472222225,0.37696194268865046,-84
2016-04-24-04:39:08.262,0.2779402686111111,0.3769685750197592,-78
2016-04-24-04:38:19.151,0.2779407525,0.37696688328319145,-127
2016-04-24-05:40:10.098,0.27792241472222223,0.3769562464275802,-57
2016-04-24-04:38:22.144,0.2779408336111111,0.3769670530048622,-82
2016-04-24-04:24:30.141,0.2779335994444444,0.3769713303171943,-83
2016-04-18-06:40:07.384,0.2779222544444444,0.3769558109717055,-84
2016-04-24-04:40:52.145,0.27793954305555557,0.3769703656563721,-78
2016-04-24-04:21:04.173,0.2779360994444444,0.37697618677751804,-83
2016-04-24-05:16:16.665,0.2779373319444445,0.3769665858137433,-78
2016-04-24-04:47:18.331,0.2779353547222222,0.37697432610687454,-72
2016-04-24-05:19:07.168,0.2779350655555555,0.37696194779865483,-84
2016-04-24-04:34:02.143,0.27794691166666663,0.37696615840608894,-88
2016-04-24-04:31:07.141,0.2779454152777778,0.37697007950578093,-78
2016-04-24-04:51:56.168,0.2779352161111111,0.3769743465458597,-81
2016-04-18-06:17:47.397,0.27792549666666666,0.37697282091692424,-81
2016-04-18-06:21:14.702,0.27792897388888893,0.376967581513743,-87
2016-04-24-04:25:28.153,0.27793443,0.37696977474043475,-74
2016-04-24-05:17:10.159,0.2779368838888889,0.3769646356462077,-76
2016-04-24-05:22:40.794,0.2779288302777778,0.3769628800076733,-50
2016-04-24-08:21:30.443,0.27793601,0.37696815126548094,-78
2016-04-24-03:43:45.385,0.2779759147222222,0.3770089075293328,-50
2016-04-24-05:21:18.157,0.27793001305555554,0.37696212628374104,-127
2016-04-24-04:32:45.132,0.27794597944444444,0.3769685826845586,-83
2016-04-19-11:57:53.175,0.27793341194444443,0.37696173500338237,-76
2016-04-24-04:35:49.905,0.27794506583333334,0.3769654692963642,-127
2016-04-24-05:16:35.670,0.277936615,0.3769652627090676,-85
2016-04-24-04:45:56.707,0.27793766194444447,0.37697559843046025,-88
2016-04-24-04:33:12.160,0.27794650666666665,0.376967824233255,-86
2016-04-19-12:29:31.212,0.2779319547222222,0.3769655941246465,-71.00000000000001
2016-04-24-07:56:59.578,0.2779219980555555,0.37696099733600885,-72
2016-04-24-05:16:20.663,0.27793731694444446,0.3769662292149234,-85
